id,level,job_band_id,job_family_id,question_id
competency744,A,3,supplychainfinance,Question24
competency745,x,4,supplychainfinance,Question1
competency746,x,4,supplychainfinance,Question2
competency747,x,4,supplychainfinance,Question3
competency748,F,4,supplychainfinance,Question4
competency749,x,4,supplychainfinance,Question5
competency750,F,4,supplychainfinance,Question6
competency751,I,4,supplychainfinance,Question7
competency752,F,4,supplychainfinance,Question8
competency753,F,4,supplychainfinance,Question9
competency754,x,4,supplychainfinance,Question10
competency755,F,4,supplychainfinance,Question11
competency756,F,4,supplychainfinance,Question12
competency757,F,4,supplychainfinance,Question13
competency758,x,4,supplychainfinance,Question14
competency759,x,4,supplychainfinance,Question15
competency760,A,4,supplychainfinance,Question16
competency761,x,4,supplychainfinance,Question17
competency762,x,4,supplychainfinance,Question18
competency763,A,4,supplychainfinance,Question19
competency764,I,4,supplychainfinance,Question20
competency765,F,4,supplychainfinance,Question21
competency766,E,4,supplychainfinance,Question22
competency767,F,4,supplychainfinance,Question23
competency768,E,4,supplychainfinance,Question24
competency769,x,1,projectprogrammemanagement,Question1
competency770,x,1,projectprogrammemanagement,Question2
competency771,x,1,projectprogrammemanagement,Question3
competency772,F,1,projectprogrammemanagement,Question4
competency773,x,1,projectprogrammemanagement,Question5
competency774,F,1,projectprogrammemanagement,Question6
competency775,F,1,projectprogrammemanagement,Question7
competency776,F,1,projectprogrammemanagement,Question8
competency777,F,1,projectprogrammemanagement,Question9
competency778,x,1,projectprogrammemanagement,Question10
